代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
002582,好想你,11.75,3.07,9.48,1.6559862074069185,52.60567719,11.136,10.982000000000001,10.633000000000001,10.201,0.7123287671232866,120,涨幅3.16%✓; 价格位置高71.2%✓; 高开后走强✓
002364,中恒电气,27.35,2.7,9.36,1.6340675794575736,154.13501656,26.656,26.468,25.4195,25.354499999999998,0.7051282051282066,120,涨幅2.97%✓; 价格位置高70.5%✓; 高开后走强✓
603703,盛洋科技,15.12,3.28,9.84,1.0437194170405184,62.74529654,14.402000000000001,14.124,13.764999999999997,12.580166666666667,0.7628865979381436,110,涨幅3.28%✓; 价格位置高76.3%✓; 高开后走强✓
002023,海特高新,13.84,1.99,5.45,1.1810339625460846,102.53505652,13.572,13.353,13.1855,12.6455,0.9230769230769245,110,涨幅1.99%✓; 价格位置高92.3%✓; 高开后走强✓
300467,迅游科技,30.48,1.87,5.88,1.4262943812088433,61.93685261,28.901999999999997,28.324,27.834500000000002,25.981833333333334,0.9279279279279294,110,涨幅2.04%✓; 价格位置高92.8%✓; 高开后走强✓
301201,诚达药业,45.06,1.51,6.28,1.0524156354444936,69.71404909,43.006,42.299,41.6755,39.976,0.8012422360248445,110,涨幅1.64%✓; 价格位置高80.1%✓; 高开后走强✓
300213,佳讯飞鸿,9.83,1.34,6.51,1.224198159203748,58.42604608,9.556,9.463000000000001,9.307,9.072833333333334,0.7812499999999993,110,涨幅1.44%✓; 价格位置高78.1%✓; 高开后走强✓
301087,可孚医疗,50.7,2.16,6.79,4.440612668674175,105.910779,46.648,46.025,45.6325,43.88,0.5816186556927301,90,涨幅2.32%✓; 高开后走强✓
300545,联得装备,32.35,1.51,8.54,1.7414939369009637,59.99675514,31.5,31.437,31.096500000000002,31.000666666666667,0.47200000000000275,90,涨幅1.47%✓; 高开后走强✓
301012,扬电科技,27.94,1.31,5.06,1.3629998894544841,55.03066926,26.715999999999998,26.272000000000002,26.238999999999997,25.633333333333333,0.5118110236220477,80,涨幅1.45%✓; 高开后走强✓
