代码,名称,选股日期,综合评分,最新价,涨跌幅,换手率,总市值,MA5,收盘偏离MA5,MACD,RSI,KDJ_J,量比,5日涨幅,20日涨幅,昨日涨跌,均线分,MACD分,RSI分,KDJ分,布林分,量能分,趋势分
000852,石化机械,2026-01-05,90.0,7.44,2.62,3.72,71.12399606,7.244,0.773053561568195,0.023478052018083062,57.627118644067785,59.48330634330506,1.616946488096035,0.40999999999999975,3.4399999999999986,1.39,30,20,15,10,10,10,4
300365,恒华科技,2026-01-05,89.0909090909091,6.6,3.13,3.26,39.59046095,6.3100000000000005,1.58478605388272,-0.05563367376972117,59.09090909090911,80.83577280455548,1.1679877382707957,0.6599999999999997,0.8700000000000006,1.77,30,14,15,15,10,10,4
301491,汉桑科技,2026-01-05,89.0909090909091,58.38,2.44,6.79,75.3102,56.013999999999996,1.6710108187239032,-0.8793165562315437,50.849514563106794,73.30532547981379,1.1824279007377598,1.78,0.44999999999999996,1.69,30,14,15,15,10,10,4
002527,新时达,2026-01-05,88.18181818181819,16.83,2.5,8.2,111.59321528,16.556,2.4402029475718767,0.0827229550311106,63.26530612244899,77.95134072140075,1.192573875874052,11.729999999999999,9.5,3.44,28,20,15,11,5,10,8
600192,长城电工,2026-01-05,86.36363636363636,10.5,2.24,10.46,46.38354,9.952,1.3866559485530536,0.13215273500351543,52.96367112810707,85.9986845664369,0.928101408905575,5.33,15.709999999999999,-3.61,30,16,15,13,10,3,8
300034,钢研高纳,2026-01-05,86.36363636363636,21.04,4.89,6.74,167.68071286,19.597999999999995,1.3368711092968877,0.7228559427298045,64.45131375579601,74.81000314958365,1.1202763523509591,1.14,17.97,1.98,30,16,15,13,5,10,6
300232,洲明科技,2026-01-05,86.36363636363636,7.46,2.9,3.95,81.12355746,7.062,1.9541206457094291,-0.029575117094083225,60.714285714285786,97.94585332310149,1.4600872958742708,1.98,0.6799999999999996,0.85,30,14,15,11,10,10,5
300847,中船汉光,2026-01-05,85.45454545454545,17.83,2.94,3.55,52.778583,17.106,1.426400093534431,-0.19979242240099282,58.08080808080807,85.7415687376193,1.5192797056582978,1.35,1.04,1.06,30,14,15,11,10,10,4
301319,唯特偶,2026-01-05,84.54545454545455,55.15,3.86,4.52,68.58041368,52.614,0.7146386893222427,2.327121751662659,53.239162201656136,93.08560281868374,1.0626839940465715,11.47,18.939999999999998,8.07,30,16,15,9,5,10,8
603206,嘉环科技,2026-01-05,83.63636363636363,17.79,2.83,3.0,54.29507787,17.118000000000002,0.7711181212758376,0.1312082211510628,56.13382899628249,72.92343919438517,1.1293111919033114,0.79,6.390000000000001,2.31,30,20,15,8,5,10,4
603773,沃格光电,2026-01-05,83.63636363636363,36.87,6.13,7.3,82.83163799,33.50599999999999,2.429415627051893,0.84046192090576,63.90101892285299,67.71820504933031,0.8796156472857777,3.41,12.260000000000002,4.89,28,20,15,13,5,3,8
002062,宏润建设,2026-01-05,82.72727272727273,9.34,3.2,3.54,115.56110103,9.213999999999999,1.1504232689385898,-0.15494420313519264,47.05882352941178,69.30570862406132,1.06696130172421,0.48000000000000037,-1.2499999999999993,-0.43,30,14,10,13,10,10,4
300402,宝色股份,2026-01-05,81.81818181818183,23.17,2.39,8.83,57.18135815,21.708,0.9305325225723317,0.08549981144814112,47.35772357723576,72.70984242178278,1.07287608795342,0.04000000000000026,7.420000000000002,0.19,26,16,10,15,10,7,6
002457,青龙管业,2026-01-05,80.9090909090909,11.77,5.18,6.1,39.25139636,10.78,1.7625231910946317,-0.0997040989797977,63.72549019607845,46.289314587280145,1.3457906622269964,2.25,-0.8100000000000006,2.63,30,14,15,8,10,10,2
920953,国子软件,2026-01-05,80.9090909090909,37.38,3.63,6.8,47.88975706,35.556,2.3455956800540085,-0.21359796120071195,56.84803001876176,68.19927467525493,1.5162332586377611,2.85,5.779999999999999,1.42,26,14,15,15,5,10,4
301608,博实结,2026-01-05,80.9090909090909,92.78,2.64,5.26,82.564922,88.04,2.907769195820068,0.9271061173484725,67.16101694915253,87.35686604914503,1.094668836295091,4.140000000000001,8.170000000000002,3.47,28,20,10,11,2,10,8
601975,招商南油,2026-01-05,80.9090909090909,3.21,3.88,5.36,150.23906416,3.0439999999999996,0.8541392904073668,-0.026006563661794768,56.66666666666668,47.35237219495026,1.4148471034744081,1.01,-0.8899999999999995,-0.98,30,10,15,10,10,10,4
300042,朗科科技,2026-01-05,80.9090909090909,29.17,4.07,10.91,58.45668,26.151999999999997,3.1278678494952636,-0.5591685700334637,52.040816326530596,71.44176833272064,1.7057528544124563,2.3400000000000003,1.8499999999999996,-0.62,23,10,15,15,10,10,6
300946,恒而达,2026-01-05,80.0,56.87,2.51,4.39,88.72163586,54.766000000000005,2.381039330971761,0.6641431708690249,56.858638743455494,93.75663465537895,0.9042636264251132,4.949999999999999,-3.21,-2.5,26,20,15,9,10,3,5
